Id,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp
0,1,0,41,1,1
1,1,0,41,1,0
2,1,0,33,0,0
3,0,0,25,1,0
4,1,1,37,1,0
5,1,1,39,1,0
6,1,1,33,0,0
7,1,0,41,1,0
8,1,0,31,0,0
9,1,1,38,1,1
10,1,1,38,0,0
11,1,1,38,0,1
12,1,1,36,1,0
13,1,0,32,1,1
14,1,0,42,1,0
15,1,0,27,0,2
16,0,0,15,0,1
17,1,1,35,0,1
18,1,0,20,1,0
19,1,0,32,1,1
20,1,1,37,1,0
21,1,1,33,0,0
22,1,0,30,1,0
23,1,1,37,1,0
24,0,0,29,0,0
25,0,0,31,1,1
26,1,1,35,0,0
27,1,0,30,1,0
28,1,1,34,1,0
29,1,1,38,1,1
30,1,0,40,0,0
31,0,0,28,0,1
32,0,0,23,1,0
33,1,1,37,1,0
34,1,1,37,1,0
35,1,1,37,0,2
36,0,0,21,0,0
37,1,0,33,1,1
38,1,1,35,0,0
39,1,1,36,0,1
40,1,0,41,1,0
41,1,0,20,0,1
42,1,0,35,0,0
43,1,1,38,0,0
44,1,1,39,1,0
45,0,0,15,0,1
46,1,0,24,1,1
47,1,1,38,1,1
48,1,0,34,1,0
49,1,1,36,1,1
50,1,0,40,0,0
51,1,1,36,1,0
52,1,1,36,1,0
53,1,1,37,0,0
54,1,1,36,0,0
55,1,1,36,1,0
56,0,0,16,1,1
57,1,1,39,1,0
58,1,1,34,1,0
59,0,0,14,1,0
60,1,1,39,0,0
61,1,1,28,1,0
62,1,1,37,1,0
63,1,1,36,1,0
64,1,1,37,1,0
65,1,0,32,0,1
66,1,1,36,0,0
67,1,1,39,1,0
68,1,1,41,0,2
69,1,0,39,1,0
70,1,0,32,1,0
71,1,0,25,1,0
72,1,1,36,1,0
73,1,1,38,1,0
75,1,0,24,1,0
76,1,1,36,1,0
77,1,1,35,0,0
78,1,0,42,0,0
79,0,0,25,1,0
80,0,0,23,0,0
81,1,1,34,1,0
82,1,1,38,0,1
83,1,1,34,0,0
84,1,0,22,0,1
85,1,0,22,1,0
86,1,1,38,1,0
87,1,1,37,1,0
88,0,0,26,0,0
89,1,1,37,0,0
90,1,0,26,1,0
91,1,1,36,1,0
92,1,0,32,1,0
93,1,1,30,1,0
94,0,0,26,0,0
95,1,0,22,1,0
96,1,1,37,1,0
97,1,1,39,1,0
98,1,0,33,0,0
99,1,1,35,0,0
100,1,0,36,1,0
101,1,0,32,1,1
102,1,0,29,0,1
103,1,1,36,1,1
104,1,1,36,1,0
105,1,0,43,1,0
106,1,1,37,1,0
107,1,1,38,1,0
108,1,1,35,0,0
109,1,1,38,0,1
110,0,1,28,1,0
111,0,0,30,1,1
112,1,0,33,1,0
113,1,1,38,1,0
114,0,0,26,1,0
115,1,1,28,0,0
116,1,1,38,1,0
117,1,0,26,1,0
118,1,0,29,0,0
119,1,0,39,1,0
120,1,0,39,0,0
121,1,1,34,0,0
122,1,1,37,1,0
123,1,1,37,1,0
124,0,1,28,1,0
125,1,1,38,1,0
126,1,1,37,1,0
127,0,0,27,1,0
128,1,1,34,0,0
129,1,1,34,1,0
130,1,1,38,0,0
131,1,0,40,1,0
132,1,1,36,0,0
133,1,1,36,1,0
134,1,1,35,0,1
135,0,0,17,1,0
136,1,0,29,1,0
137,1,1,38,0,0
138,1,0,41,0,0
139,1,0,34,0,1
140,0,0,14,0,1
141,1,1,38,1,0
142,1,0,40,1,0
143,1,0,32,0,0
144,1,1,37,1,0
145,1,1,34,0,0
146,1,1,37,1,0
147,1,0,24,0,0
149,1,1,34,0,0
150,0,0,29,0,0
151,1,1,37,1,0
152,1,1,36,0,0
153,1,1,35,1,0
154,1,1,38,1,1
155,1,1,37,1,0
156,1,0,40,1,0
157,1,1,38,1,0
158,1,1,37,1,0
159,1,1,36,1,0
160,1,1,36,1,0
161,1,0,30,0,1
162,1,1,36,1,0
163,1,1,34,1,0
164,1,1,35,1,0
165,1,1,36,0,1
166,1,1,37,0,0
167,0,0,20,1,0
168,1,1,36,0,0
169,1,0,33,1,0
170,1,1,34,0,0
171,0,0,18,1,0
172,1,1,36,1,1
173,0,0,27,0,1
174,1,1,38,0,0
175,1,0,31,0,1
176,1,1,38,1,0
177,0,0,25,0,0
178,1,1,36,1,0
179,0,0,21,0,0
180,1,1,38,1,0
181,0,0,14,1,1
182,1,1,38,0,0
183,0,0,26,1,0
184,1,0,40,1,0
185,1,0,33,1,1
