Id,Name,Bank,BankState
0,0,2,13
1,0,2,31
2,0,3,51
3,0,1,7
4,0,1,19
5,0,0,39
6,0,3,34
7,0,0,48
8,0,3,27
9,0,2,24
10,0,3,52
11,0,3,14
12,0,3,51
13,1,1,33
14,0,0,19
15,0,1,20
16,0,3,26
17,0,1,7
18,0,3,38
19,0,2,38
20,0,3,14
21,0,3,51
22,0,0,8
23,0,1,38
24,0,3,45
25,0,0,36
26,0,3,14
27,0,3,16
28,0,1,2
29,0,0,9
30,0,0,24
31,0,1,19
32,0,3,52
33,0,3,45
34,0,3,14
35,0,2,35
36,0,1,40
37,0,3,24
38,0,3,24
39,0,2,24
40,0,2,1
41,0,1,8
42,0,3,51
43,0,3,51
44,0,3,16
45,0,0,16
46,0,0,41
47,0,3,14
48,0,1,24
49,0,1,38
50,0,1,27
51,0,3,16
52,0,0,5
53,0,3,51
54,0,3,51
55,0,0,36
56,0,1,26
57,0,3,24
58,0,3,24
59,0,3,51
60,0,3,45
61,0,3,27
62,0,0,9
63,0,1,32
64,0,2,14
65,0,0,3
66,0,3,24
67,0,1,13
68,0,1,18
69,0,0,41
70,0,1,14
71,0,1,35
72,0,0,38
73,0,1,25
74,0,3,27
75,0,3,9
76,0,3,16
77,0,1,42
78,0,1,7
79,0,0,38
80,0,3,34
81,0,1,10
82,0,1,19
83,0,1,24
84,0,2,1
85,0,3,5
86,0,3,27
87,0,1,26
88,0,3,24
89,0,1,42
90,0,1,38
91,0,1,39
92,0,2,52
93,0,1,22
94,0,2,52
95,0,3,34
96,0,3,34
97,0,1,14
98,0,3,51
99,0,0,26
100,0,1,31
101,0,3,34
102,0,0,20
103,0,3,14
104,0,3,16
105,0,0,42
106,0,3,45
107,0,3,16
108,0,3,16
109,0,0,8
110,0,3,8
111,0,3,24
112,0,1,52
113,0,3,34
114,0,2,52
115,0,0,23
116,0,3,45
117,0,1,19
118,0,0,27
119,0,1,7
120,0,0,25
121,0,1,22
122,0,2,1
123,0,3,34
124,0,3,45
125,0,3,51
126,0,1,47
127,0,0,27
128,0,1,33
129,0,0,30
130,0,3,45
131,0,1,11
132,0,0,7
133,0,3,14
134,0,0,24
135,0,1,19
136,0,2,38
137,0,3,16
138,0,0,36
139,0,1,20
140,0,1,30
141,0,3,51
142,0,0,7
143,0,1,39
144,0,3,45
145,0,1,24
146,0,3,45
147,0,3,27
148,0,2,45
149,0,2,38
150,0,3,27
151,0,1,33
152,0,3,16
153,0,3,45
154,0,3,24
155,0,2,47
156,0,1,24
157,0,3,24
158,0,3,16
159,0,1,27
160,0,3,16
161,0,1,38
162,0,3,14
163,0,1,22
164,0,3,52
165,0,2,50
166,0,1,20
168,0,3,16
169,0,3,16
170,0,3,16
171,0,0,9
172,1,0,9
173,0,0,24
174,0,3,52
175,0,1,15
176,0,3,45
177,0,1,49
178,0,2,14
179,0,1,27
180,0,3,52
181,0,0,49
182,0,3,24
183,0,3,7
184,0,3,34
185,0,1,38
186,0,3,14
187,0,0,45
188,0,1,4
189,0,3,14
190,0,2,35
191,0,0,39
192,0,3,14
193,0,0,38
194,1,3,24
195,0,3,45
196,0,3,51
197,0,2,13
198,0,3,34
199,0,3,52
200,0,0,24
201,0,1,38
202,0,2,52
203,0,3,13
204,0,1,8
205,0,0,52
206,0,2,38
207,0,3,51
208,0,0,20
209,0,3,16
210,0,0,8
211,0,3,51
212,0,1,24
213,0,1,22
214,0,1,19
215,0,3,13
216,0,0,51
217,0,1,24
218,0,3,24
219,0,3,52
220,0,2,24
221,0,1,24
222,0,3,24
223,0,3,5
224,0,3,14
225,0,2,24
226,0,3,45
227,0,0,23
228,0,3,16
229,0,1,27
230,0,3,16
231,0,3,16
232,0,0,38
233,0,3,16
234,0,3,45
235,0,3,34
236,0,3,24
237,0,0,11
238,0,3,45
239,0,0,39
240,0,2,45
241,0,1,38
242,0,3,43
243,0,2,45
244,0,2,34
245,0,0,7
246,0,3,34
247,0,0,8
248,0,3,45
249,0,3,16
250,0,3,52
251,0,3,52
252,0,0,38
253,0,0,41
254,0,3,14
255,0,3,34
256,0,3,14
257,0,0,19
258,0,3,24
259,0,1,20
260,0,1,31
261,0,3,16
262,0,1,30
263,0,3,51
264,0,1,24
265,0,1,24
266,0,3,14
267,0,3,24
268,0,3,14
269,0,3,22
270,0,3,51
271,0,1,27
272,0,3,51
273,0,3,38
274,0,3,51
275,0,1,14
276,0,1,24
277,0,3,48
278,0,0,7
279,0,0,7
280,0,3,45
281,0,1,11
282,0,0,2
283,0,0,26
284,0,3,51
285,1,2,38
286,0,3,51
287,0,3,24
288,0,1,38
289,0,3,24
290,0,3,45
291,0,1,7
292,0,3,51
293,0,3,13
294,0,3,51
295,0,3,24
296,0,1,18
297,0,3,51
298,0,3,21
299,0,1,38
300,0,3,51
301,1,1,41
302,0,3,34
303,0,0,9
304,0,2,34
305,0,0,52
306,0,0,24
307,0,3,16
308,0,3,51
309,0,1,27
310,0,3,24
311,0,1,9
312,1,3,51
313,0,3,14
314,0,1,28
315,0,3,13
316,0,3,1
317,1,3,34
318,0,0,27
319,0,3,16
320,0,1,33
321,0,3,14
322,0,0,45
323,0,2,52
324,0,0,34
325,0,1,31
326,0,3,51
327,0,3,34
328,0,2,1
329,0,1,49
330,0,3,16
331,0,1,24
332,0,2,52
333,0,2,45
334,0,3,34
335,0,2,52
336,0,0,50
337,0,1,27
338,0,0,22
339,0,3,52
340,0,0,39
341,0,3,24
342,0,3,16
343,0,3,24
344,0,2,27
345,0,3,14
346,0,1,39
347,0,3,51
348,0,0,38
349,0,3,34
350,0,0,7
351,0,3,45
352,0,1,27
353,0,0,26
354,1,3,45
355,0,1,24
356,0,1,43
357,0,0,5
358,1,1,20
359,0,1,49
360,0,3,51
361,0,1,27
362,0,3,16
363,0,3,27
364,0,1,22
365,0,3,51
366,0,1,22
367,0,2,11
368,0,2,34
369,0,2,31
370,0,3,16
371,0,3,51
372,0,3,24
373,0,0,45
374,0,0,25
375,0,1,5
376,0,0,39
377,0,2,34
378,0,0,9
379,0,2,47
380,0,2,34
381,0,3,13
382,0,3,27
383,0,3,45
384,0,3,51
385,0,0,22
386,0,2,31
387,0,3,34
388,0,2,47
389,0,1,13
390,0,2,24
391,0,3,24
392,0,0,27
393,0,0,31
394,0,2,1
395,0,3,45
396,0,1,22
397,0,3,34
398,0,2,35
399,0,1,38
400,0,3,51
401,0,3,22
