Id,Name,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,SBA_Appv,GrAppv
0,0,2,52,1,0,41,1,1,1,0,0.0,0,1,0,0,0.09137055837563451,2000000,1500000,2000000
1,0,2,6,1,0,41,1,0,1,0,0.0375,0,1,0,0,0.08121827411167512,17000,17000,17000
2,0,3,39,1,0,33,0,0,1,0,0.0125,0,1,1,0,0.3739424703891709,17000,8500,17000
3,0,1,17,0,0,25,1,0,0,0,0.0,0,0,0,0,0.3790186125211506,137000,123300,137000
4,0,1,10,1,1,37,1,0,1,0,0.025,0,1,1,0,0.9170896785109983,46665,12500,25000
5,0,0,49,1,1,39,1,0,1,0,0.025,0,2,0,0,0.3840947546531303,400000,375000,500000
6,0,3,36,1,1,33,0,0,1,0,0.0625,0,1,0,0,0.34348561759729274,275000,206250,275000
7,0,0,25,1,0,41,1,0,0,0,0.0125,0,2,0,0,0.08121827411167512,75000,67500,75000
8,0,3,4,1,0,31,0,0,1,0,0.0625,0,1,0,0,0.26903553299492383,699300,524475,699300
9,0,2,28,1,1,38,1,1,1,0,0.1875,0,2,0,0,0.805414551607445,100000,50000,100000
10,0,3,30,1,1,38,0,0,1,0,0.0125,0,1,1,0,0.24027072758037224,29262,12500,25000
11,0,3,5,1,1,38,0,1,0,0,0.1375,0,1,0,0,0.9441624365482234,25000,12500,25000
12,0,3,39,1,1,36,1,0,0,0,0.0,0,1,0,0,0.7021996615905245,25000,12500,25000
13,1,1,13,1,0,32,1,1,1,1,0.225,1,1,0,0,0.24873096446700507,240000,180000,240000
14,0,0,10,1,0,42,1,0,0,0,0.0375,0,1,1,0,0.005076142131979695,38317,12500,25000
15,0,1,15,1,0,27,0,2,1,0,0.0,0,0,0,0,0.25380710659898476,100000,80000,100000
16,0,3,22,0,0,15,0,1,1,0,0.0,2,0,0,0,0.001692047377326565,90000,81000,90000
17,0,1,17,1,1,35,0,1,1,0,0.175,0,2,0,0,0.02030456852791878,459000,459000,459000
18,0,3,12,1,0,20,1,0,0,0,0.0,0,0,0,0,0.001692047377326565,45000,40500,45000
19,0,2,12,1,0,32,1,1,1,0,0.25,0,1,0,0,0.24196277495769883,350000,262500,350000
20,0,3,5,1,1,37,1,0,1,0,0.0625,0,1,0,0,0.9035532994923858,50000,25000,50000
21,0,3,39,1,1,33,0,0,1,0,0.0625,0,1,1,0,0.2893401015228426,15000,7500,15000
22,0,0,27,1,0,30,1,0,1,0,0.025,0,1,1,0,0.23011844331641285,105318,20000,40000
23,0,1,12,1,1,37,1,0,0,0,0.025,0,1,0,0,0.751269035532995,312869,239250,319000
24,0,3,26,0,0,29,0,0,1,0,0.0,0,0,0,1,0.23181049069373943,100000,80000,100000
25,0,0,32,0,0,31,1,1,0,0,0.0,0,1,0,0,0.2470389170896785,250000,187500,250000
26,0,3,5,1,1,35,0,0,1,0,0.0625,0,1,0,0,0.5854483925549916,25000,12500,25000
27,0,3,20,1,0,30,1,0,1,0,0.1,0,0,1,0,0.22504230118443316,34566,12500,25000
28,0,1,1,1,1,34,1,0,1,0,0.0,3,1,0,1,0.43485617597292725,62900,62815,73900
29,0,0,47,1,1,38,1,1,0,0,0.0,0,1,0,0,0.9441624365482234,465000,348750,465000
30,0,0,28,1,0,40,0,0,1,0,0.025,0,1,0,0,0.09475465313028765,159000,143100,159000
31,0,1,10,0,0,28,0,1,0,0,0.0,0,0,0,1,0.21658206429780033,30000,24000,30000
32,0,3,30,0,0,23,1,0,1,0,0.0,0,0,0,0,0.3096446700507614,24000,19200,24000
33,0,3,26,1,1,37,1,0,1,0,0.05,0,1,1,0,0.8510998307952623,176553,20000,40000
34,0,3,5,1,1,37,1,0,1,0,0.025,0,1,0,0,0.8307952622673435,50000,25000,50000
35,0,2,48,1,1,37,0,2,1,0,0.0,0,1,0,0,0.8307952622673435,800000,600000,800000
36,0,1,43,0,0,21,0,0,1,0,0.0,0,0,0,0,0.21996615905245348,60000,54000,60000
37,0,3,28,1,0,33,1,1,1,0,0.225,4,1,0,0,0.29441624365482233,300000,225000,300000
38,0,3,28,1,1,35,0,0,0,0,0.0625,0,1,0,0,0.5617597292724196,245000,183750,245000
39,0,2,28,1,1,36,0,1,1,0,0.3375,0,1,1,0,0.7343485617597293,65904,15000,30000
40,0,2,44,1,0,41,1,0,1,0,0.0125,0,1,0,0,0.043993231810490696,20000,10000,20000
41,0,1,27,1,0,20,0,1,0,0,0.0,0,0,0,0,0.3840947546531303,70000,63000,70000
42,0,3,39,1,0,35,0,0,1,0,0.075,0,1,1,0,0.49238578680203043,50000,25000,50000
43,0,3,39,1,1,38,0,0,1,0,0.025,0,1,0,0,0.9475465313028765,23000,11500,23000
44,0,3,20,1,1,39,1,0,1,0,0.025,0,1,1,0,0.5854483925549916,64402,12500,25000
45,0,0,20,0,0,15,0,1,1,0,0.0,0,0,0,0,0.008460236886632826,130000,130000,130000
46,0,0,24,1,0,24,1,1,1,0,0.0,0,0,0,0,0.25888324873096447,350000,400000,500000
47,0,3,5,1,1,38,1,1,1,0,0.0,0,1,0,0,0.751269035532995,50000,25000,50000
48,0,1,28,1,0,34,1,0,1,0,0.025,0,1,1,0,0.43485617597292725,50000,25000,50000
49,0,1,12,1,1,36,1,1,1,0,0.5,0,1,0,0,0.6852791878172588,783000,587250,783000
50,0,1,4,1,0,40,0,0,1,0,0.0375,0,1,0,0,0.19796954314720813,135000,67500,135000
51,0,3,20,1,1,36,1,0,1,0,0.1,0,1,0,0,0.7495769881556683,100000,50000,100000
52,0,0,50,1,1,36,1,0,1,0,0.0,0,1,0,0,0.6395939086294417,100000,85000,100000
53,0,3,39,1,1,37,0,0,1,0,0.075,0,1,1,0,0.9035532994923858,273973,20000,40000
54,0,3,39,1,1,36,0,0,1,0,0.075,0,1,1,0,0.6582064297800339,32030,16500,33000
55,0,0,32,1,1,36,1,0,1,0,0.05,0,1,0,0,0.8510998307952623,33800,16900,33800
56,0,1,22,0,0,16,1,1,0,0,0.0,5,0,0,0,0.001692047377326565,70000,63000,70000
57,0,3,28,1,1,39,1,0,1,0,0.0875,0,1,0,0,0.5854483925549916,5000,4250,5000
58,0,3,28,1,1,34,1,0,0,0,0.0125,0,2,0,0,0.45346869712351945,5000,4250,5000
59,0,3,39,0,0,14,1,0,1,0,0.0,0,0,0,0,0.00338409475465313,130000,117000,130000
