Id,Name,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,SBA_Appv,GrAppv
0,1,0,0.0,0,1,0,0,0.09137055837563453,1,0,41,1,1,0,2,13,2000000,1500000,2000000
1,1,0,0.0375,0,1,0,0,0.08121827411167512,1,0,41,1,0,0,2,31,17000,17000,17000
2,1,0,0.0125,0,1,1,0,0.3739424703891709,1,0,33,0,0,0,3,51,17000,8500,17000
3,0,0,0.0,0,0,0,0,0.3790186125211506,0,0,25,1,0,0,1,7,137000,123300,137000
4,1,0,0.025,0,1,1,0,0.9170896785109984,1,1,37,1,0,0,1,19,46665,12500,25000
5,1,0,0.025,0,2,0,0,0.3840947546531303,1,1,39,1,0,0,0,39,400000,375000,500000
6,1,0,0.0625,0,1,0,0,0.34348561759729274,1,1,33,0,0,0,3,34,275000,206250,275000
7,0,0,0.0125,0,2,0,0,0.08121827411167512,1,0,41,1,0,0,0,48,75000,67500,75000
8,1,0,0.0625,0,1,0,0,0.26903553299492383,1,0,31,0,0,0,3,27,699300,524475,699300
9,1,0,0.1875,0,2,0,0,0.8054145516074449,1,1,38,1,1,0,2,24,100000,50000,100000
10,1,0,0.0125,0,1,1,0,0.24027072758037224,1,1,38,0,0,0,3,52,29262,12500,25000
11,0,0,0.1375,0,1,0,0,0.9441624365482234,1,1,38,0,1,0,3,14,25000,12500,25000
12,0,0,0.0,0,1,0,0,0.7021996615905245,1,1,36,1,0,0,3,51,25000,12500,25000
13,1,1,0.225,1,1,0,0,0.2487309644670051,1,0,32,1,1,1,1,33,240000,180000,240000
14,0,0,0.0375,0,1,1,0,0.005076142131979695,1,0,42,1,0,0,0,19,38317,12500,25000
15,1,0,0.0,0,0,0,0,0.2538071065989848,1,0,27,0,2,0,1,20,100000,80000,100000
16,1,0,0.0,2,0,0,0,0.001692047377326565,0,0,15,0,1,0,3,26,90000,81000,90000
17,1,0,0.175,0,2,0,0,0.02030456852791878,1,1,35,0,1,0,1,7,459000,459000,459000
18,0,0,0.0,0,0,0,0,0.001692047377326565,1,0,20,1,0,0,3,38,45000,40500,45000
19,1,0,0.25,0,1,0,0,0.24196277495769886,1,0,32,1,1,0,2,38,350000,262500,350000
20,1,0,0.0625,0,1,0,0,0.9035532994923858,1,1,37,1,0,0,3,14,50000,25000,50000
21,1,0,0.0625,0,1,1,0,0.2893401015228426,1,1,33,0,0,0,3,51,15000,7500,15000
22,1,0,0.025,0,1,1,0,0.23011844331641285,1,0,30,1,0,0,0,8,105318,20000,40000
23,0,0,0.025,0,1,0,0,0.7512690355329951,1,1,37,1,0,0,1,38,312869,239250,319000
24,1,0,0.0,0,0,0,1,0.23181049069373946,0,0,29,0,0,0,3,45,100000,80000,100000
25,0,0,0.0,0,1,0,0,0.2470389170896785,0,0,31,1,1,0,0,36,250000,187500,250000
26,1,0,0.0625,0,1,0,0,0.5854483925549916,1,1,35,0,0,0,3,14,25000,12500,25000
27,1,0,0.1,0,0,1,0,0.2250423011844332,1,0,30,1,0,0,3,16,34566,12500,25000
28,1,0,0.0,3,1,0,1,0.4348561759729273,1,1,34,1,0,0,1,2,62900,62815,73900
29,0,0,0.0,0,1,0,0,0.9441624365482234,1,1,38,1,1,0,0,9,465000,348750,465000
30,1,0,0.025,0,1,0,0,0.09475465313028764,1,0,40,0,0,0,0,24,159000,143100,159000
31,0,0,0.0,0,0,0,1,0.21658206429780036,0,0,28,0,1,0,1,19,30000,24000,30000
32,1,0,0.0,0,0,0,0,0.3096446700507614,0,0,23,1,0,0,3,52,24000,19200,24000
33,1,0,0.05,0,1,1,0,0.8510998307952623,1,1,37,1,0,0,3,45,176553,20000,40000
34,1,0,0.025,0,1,0,0,0.8307952622673435,1,1,37,1,0,0,3,14,50000,25000,50000
35,1,0,0.0,0,1,0,0,0.8307952622673435,1,1,37,0,2,0,2,35,800000,600000,800000
36,1,0,0.0,0,0,0,0,0.21996615905245348,0,0,21,0,0,0,1,40,60000,54000,60000
37,1,0,0.225,4,1,0,0,0.29441624365482233,1,0,33,1,1,0,3,24,300000,225000,300000
38,0,0,0.0625,0,1,0,0,0.5617597292724196,1,1,35,0,0,0,3,24,245000,183750,245000
39,1,0,0.3375,0,1,1,0,0.7343485617597293,1,1,36,0,1,0,2,24,65904,15000,30000
40,1,0,0.0125,0,1,0,0,0.043993231810490696,1,0,41,1,0,0,2,1,20000,10000,20000
41,0,0,0.0,0,0,0,0,0.3840947546531303,1,0,20,0,1,0,1,8,70000,63000,70000
42,1,0,0.075,0,1,1,0,0.4923857868020304,1,0,35,0,0,0,3,51,50000,25000,50000
43,1,0,0.025,0,1,0,0,0.9475465313028764,1,1,38,0,0,0,3,51,23000,11500,23000
44,1,0,0.025,0,1,1,0,0.5854483925549916,1,1,39,1,0,0,3,16,64402,12500,25000
45,1,0,0.0,0,0,0,0,0.008460236886632827,0,0,15,0,1,0,0,16,130000,130000,130000
46,1,0,0.0,0,0,0,0,0.2588832487309645,1,0,24,1,1,0,0,41,350000,400000,500000
47,1,0,0.0,0,1,0,0,0.7512690355329951,1,1,38,1,1,0,3,14,50000,25000,50000
48,1,0,0.025,0,1,1,0,0.4348561759729273,1,0,34,1,0,0,1,24,50000,25000,50000
49,1,0,0.5,0,1,0,0,0.6852791878172588,1,1,36,1,1,0,1,38,783000,587250,783000
50,1,0,0.0375,0,1,0,0,0.19796954314720813,1,0,40,0,0,0,1,27,135000,67500,135000
51,1,0,0.1,0,1,0,0,0.7495769881556683,1,1,36,1,0,0,3,16,100000,50000,100000
52,1,0,0.0,0,1,0,0,0.6395939086294417,1,1,36,1,0,0,0,5,100000,85000,100000
53,1,0,0.075,0,1,1,0,0.9035532994923858,1,1,37,0,0,0,3,51,273973,20000,40000
54,1,0,0.075,0,1,1,0,0.6582064297800339,1,1,36,0,0,0,3,51,32030,16500,33000
55,1,0,0.05,0,1,0,0,0.8510998307952623,1,1,36,1,0,0,0,36,33800,16900,33800
56,0,0,0.0,5,0,0,0,0.001692047377326565,0,0,16,1,1,0,1,26,70000,63000,70000
57,1,0,0.0875,0,1,0,0,0.5854483925549916,1,1,39,1,0,0,3,24,5000,4250,5000
58,0,0,0.0125,0,2,0,0,0.4534686971235194,1,1,34,1,0,0,3,24,5000,4250,5000
59,1,0,0.0,0,0,0,0,0.00338409475465313,0,0,14,1,0,0,3,51,130000,117000,130000
60,0,1,0.15,0,1,1,0,0.61082910321489,1,1,39,0,0,0,3,45,27898,12500,25000
61,1,0,0.0,0,0,0,1,0.001692047377326565,1,1,28,1,0,0,3,27,100000,80000,100000
62,1,0,0.0,0,1,0,0,0.9373942470389169,1,1,37,1,0,0,0,9,150000,127500,150000
63,1,0,0.125,0,2,0,0,0.6345177664974619,1,1,36,1,0,0,1,32,21500,10750,21500
64,1,0,0.075,0,1,1,0,0.9170896785109984,1,1,37,1,0,0,2,14,100000,50000,100000
65,1,0,0.1875,0,1,1,0,0.24196277495769886,1,0,32,0,1,0,0,3,50000,25000,50000
66,1,0,0.05,0,1,0,0,0.6548223350253807,1,1,36,0,0,0,3,24,32000,16000,32000
67,1,0,0.0875,0,1,0,0,0.61082910321489,1,1,39,1,0,0,1,13,69800,34900,69800
68,1,0,1.0,0,1,0,0,0.09137055837563453,1,1,41,0,2,0,1,18,550000,495000,550000
69,1,0,0.0,0,2,0,0,0.2267343485617597,1,0,39,1,0,0,0,41,120000,60000,120000
70,0,0,0.0,0,2,0,1,0.018612521150592216,1,0,32,1,0,0,1,14,45000,38250,45000
71,0,0,0.0,0,0,0,0,0.6040609137055838,1,0,25,1,0,0,1,35,375000,318750,375000
72,0,0,0.0,6,1,0,0,0.7343485617597293,1,1,36,1,0,0,0,38,325000,243750,325000
73,1,0,0.0125,0,1,0,0,0.8307952622673435,1,1,38,1,0,0,1,25,23900,11950,23900
75,0,0,0.0,0,0,0,0,0.001692047377326565,1,0,24,1,0,0,3,9,200000,170000,200000
76,1,0,0.05,0,1,0,0,0.6852791878172588,1,1,36,1,0,0,3,16,52000,26000,52000
77,0,0,0.0625,0,1,0,0,0.5025380710659898,1,1,35,0,0,0,1,42,80000,40000,80000
78,1,0,0.0,0,1,1,0,0.077834179357022,1,0,42,0,0,0,1,7,19500,7500,15000
79,0,0,0.0,0,0,0,1,0.3840947546531303,0,0,25,1,0,0,0,38,18000,16200,18000
80,1,0,0.0,0,0,0,0,0.3096446700507614,0,0,23,0,0,0,3,34,152000,121600,152000
81,0,0,0.0,0,1,0,0,0.4145516074450085,1,1,34,1,0,0,1,10,105000,89250,105000
82,1,0,0.15,0,1,1,0,0.9373942470389169,1,1,38,0,1,0,1,19,229495,40000,80000
83,1,0,0.0125,0,0,0,0,0.4145516074450085,1,1,34,0,0,0,1,24,5000,4250,5000
84,1,0,0.0,0,0,0,0,0.2588832487309645,1,0,22,0,1,0,2,1,868056,564236,868056
85,1,0,0.0,0,0,0,0,0.2436548223350254,1,0,22,1,0,0,3,5,50000,42500,50000
86,1,0,0.0125,0,1,1,0,0.9475465313028764,1,1,38,1,0,0,3,27,89205,17500,35000
87,0,0,0.0,0,1,0,0,0.8307952622673435,1,1,37,1,0,0,1,26,36000,18000,36000
88,0,0,0.0,7,0,0,1,0.5499153976311336,0,0,26,0,0,0,3,24,85000,76500,85000
89,0,0,0.025,0,2,0,0,0.7478849407783418,1,1,37,0,0,0,1,42,66000,33000,66000
90,1,0,0.0,0,0,0,0,0.637901861252115,1,0,26,1,0,0,1,38,95000,71250,95000
91,1,0,0.05,0,1,0,0,0.6852791878172588,1,1,36,1,0,0,1,39,1232500,924375,1232500
92,1,0,0.075,0,1,0,0,0.2554991539763113,1,0,32,1,0,0,2,52,778000,628500,838000
93,0,0,0.0,0,0,0,1,0.2656514382402707,1,1,30,1,0,0,1,22,70000,56000,70000
94,1,0,0.0,0,0,0,1,0.637901861252115,0,0,26,0,0,0,2,52,50000,45000,50000
95,1,0,0.0,0,0,0,0,0.2250423011844332,1,0,22,1,0,0,3,34,320000,272000,320000
96,0,0,0.0375,0,1,1,0,0.7868020304568528,1,1,37,1,0,0,3,34,90294,20000,40000
97,1,0,0.0125,0,1,1,0,0.622673434856176,1,1,39,1,0,0,1,14,50535,12500,25000
98,1,0,0.0875,0,1,1,0,0.2673434856175973,1,0,33,0,0,0,3,51,61500,18000,36000
99,0,0,0.0,0,1,0,1,0.3824027072758037,1,1,35,0,0,0,0,26,40000,34000,40000
100,1,0,0.075,0,1,1,0,0.6852791878172588,1,0,36,1,0,0,1,31,53402,12500,25000
101,0,1,0.0,8,1,0,0,0.2554991539763113,1,0,32,1,1,0,3,34,810000,313076,838000
102,1,0,0.0,0,0,0,0,0.18612521150592215,1,0,29,0,1,0,0,20,700000,525000,700000
103,1,0,0.1875,0,1,0,0,0.6345177664974619,1,1,36,1,1,0,3,14,50000,25000,50000
104,1,0,0.0125,0,2,1,0,0.6920473773265652,1,1,36,1,0,0,3,16,51026,15000,30000
105,0,0,0.025,0,1,0,0,0.001692047377326565,1,0,43,1,0,0,0,42,15000,7500,15000
106,1,0,0.0375,0,1,0,0,0.9035532994923858,1,1,37,1,0,0,3,45,59623,30000,60000
107,0,0,0.05,0,1,1,0,0.9475465313028764,1,1,38,1,0,0,3,16,7000,3500,7000
108,1,0,0.0125,0,1,1,0,0.5617597292724196,1,1,35,0,0,0,3,16,20175,2500,5000
109,1,0,0.5625,0,1,0,0,0.9526226734348562,1,1,38,0,1,0,0,8,2000000,1500000,2000000
110,1,0,0.0,0,0,1,0,0.2808798646362098,0,1,28,1,0,0,3,8,75000,37500,75000
111,0,0,0.0,0,0,0,1,0.2182741116751269,0,0,30,1,1,0,3,24,36900,32000,40000
112,1,0,0.025,0,1,0,0,0.2825719120135364,1,0,33,1,0,0,1,52,215200,161400,215200
113,1,0,0.0625,0,1,1,0,0.8307952622673435,1,1,38,1,0,0,3,34,25252,12500,25000
